2023-11-17 03:58:03.494 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource file:./config/application.properties
2023-11-17 03:58:03.500 TRACE  [main] o.s.b.c.config.ConfigDataImporter - Considering resource file [.] from location optional:file:./;optional:file:./config/;optional:file:./config/*/
2023-11-17 03:58:03.502 TRACE  [main] o.s.b.c.config.ConfigDataLoaders - Loading file [.] using loader org.springframework.boot.context.config.StandardConfigDataLoader
2023-11-17 03:58:03.503 TRACE  [main] o.s.b.c.config.ConfigDataImporter - Loaded resource file [.] from location optional:file:./;optional:file:./config/;optional:file:./config/*/
2023-11-17 03:58:03.525 TRACE  [main] o.s.b.c.c.ConfigDataEnvironmentContributors - Imported 1 resource [file [.]]
2023-11-17 03:58:03.526 TRACE  [main] o.s.b.c.c.ConfigDataEnvironmentContributors - Processing imports [optional:classpath:/;optional:classpath:/config/]
2023-11-17 03:58:03.526 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource classpath:/application.yaml
2023-11-17 03:58:03.530 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource classpath:/application.xml
2023-11-17 03:58:03.531 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource classpath:/application.properties
2023-11-17 03:58:03.536 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource classpath:/config/application.yaml
2023-11-17 03:58:03.538 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource classpath:/config/application.yml
2023-11-17 03:58:03.538 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource classpath:/config/application.xml
2023-11-17 03:58:03.539 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource classpath:/config/application.properties
2023-11-17 03:58:03.540 TRACE  [main] o.s.b.c.config.ConfigDataImporter - Considering resource class path resource [application.yml] from location optional:classpath:/;optional:classpath:/config/
2023-11-17 03:58:03.540 TRACE  [main] o.s.b.c.config.ConfigDataLoaders - Loading class path resource [application.yml] using loader org.springframework.boot.context.config.StandardConfigDataLoader
2023-11-17 03:58:03.540 TRACE  [main] o.s.b.c.config.ConfigDataImporter - Loaded resource class path resource [application.yml] from location optional:classpath:/;optional:classpath:/config/
2023-11-17 03:58:03.541 TRACE  [main] o.s.b.c.c.ConfigDataEnvironmentContributors - Imported 1 resource [class path resource [application.yml]]
2023-11-17 03:58:03.541 TRACE  [main] o.s.b.c.c.ConfigDataEnvironmentContributors - Processed imports for of 2 contributors
2023-11-17 03:58:03.542 TRACE  [main] o.s.b.c.config.ConfigDataEnvironment - Creating config data activation context from initial contributions
2023-11-17 03:58:03.542 TRACE  [main] o.s.b.c.config.ConfigDataEnvironment - Processing config data environment contributors with initial activation context
2023-11-17 03:58:03.552 TRACE  [main] o.s.b.c.c.ConfigDataEnvironmentContributors - Processing imports for phase BEFORE_PROFILE_ACTIVATION. [ConfigDataActivationContext@7889a1ac cloudPlatform = [null], profiles = [null]]
2023-11-17 03:58:03.553 TRACE  [main] o.s.b.c.c.ConfigDataEnvironmentContributors - Processed imports for of 0 contributors
2023-11-17 03:58:03.553 TRACE  [main] o.s.b.c.config.ConfigDataEnvironment - Deducing profiles from current config data environment contributors
2023-11-17 03:58:03.554 TRACE  [main] o.s.b.c.config.ConfigDataEnvironment - Processing config data environment contributors with profile activation context
2023-11-17 03:58:03.555 TRACE  [main] o.s.b.c.c.ConfigDataEnvironmentContributors - Processing imports for phase AFTER_PROFILE_ACTIVATION. [ConfigDataActivationContext@3aee3976 cloudPlatform = [null], profiles = [Profiles@5ef8df1e active = '[]', default = '[default]', accepted = '[default]']]
2023-11-17 03:58:03.555 TRACE  [main] o.s.b.c.c.ConfigDataEnvironmentContributors - Processing imports [optional:file:./;optional:file:./config/;optional:file:./config/*/]
2023-11-17 03:58:03.555 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource file:./application.yaml
2023-11-17 03:58:03.556 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource file:./application.yml
2023-11-17 03:58:03.556 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource file:./application.xml
2023-11-17 03:58:03.556 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource file:./application.properties
2023-11-17 03:58:03.556 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource file:./config/application.yaml
2023-11-17 03:58:03.557 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource file:./config/application.yml
2023-11-17 03:58:03.562 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource file:./config/application.xml
2023-11-17 03:58:03.562 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource file:./config/application.properties
2023-11-17 03:58:03.563 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource file:./application-default.yaml
2023-11-17 03:58:03.563 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource file:./application-default.yml
2023-11-17 03:58:03.563 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource file:./application-default.xml
2023-11-17 03:58:03.563 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource file:./application-default.properties
2023-11-17 03:58:03.563 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource file:./config/application-default.yaml
2023-11-17 03:58:03.564 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource file:./config/application-default.yml
2023-11-17 03:58:03.564 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource file:./config/application-default.xml
2023-11-17 03:58:03.564 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource file:./config/application-default.properties
2023-11-17 03:58:03.564 TRACE  [main] o.s.b.c.config.ConfigDataImporter - Considering resource file [.] from location optional:file:./;optional:file:./config/;optional:file:./config/*/
2023-11-17 03:58:03.564 TRACE  [main] o.s.b.c.config.ConfigDataImporter - Already loaded resource file [.] ignoring location optional:file:./;optional:file:./config/;optional:file:./config/*/
2023-11-17 03:58:03.565 TRACE  [main] o.s.b.c.config.ConfigDataImporter - Considering resource file [.] from location optional:file:./;optional:file:./config/;optional:file:./config/*/
2023-11-17 03:58:03.565 TRACE  [main] o.s.b.c.config.ConfigDataImporter - Already loaded resource file [.] ignoring location optional:file:./;optional:file:./config/;optional:file:./config/*/
2023-11-17 03:58:03.565 TRACE  [main] o.s.b.c.c.ConfigDataEnvironmentContributors - Nothing imported
2023-11-17 03:58:03.565 TRACE  [main] o.s.b.c.c.ConfigDataEnvironmentContributors - Processing imports [optional:classpath:/;optional:classpath:/config/]
2023-11-17 03:58:03.566 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource classpath:/application.yaml
2023-11-17 03:58:03.566 TRACE  [main] o.s.b.c.c.StandardConfigDataLocationResolver - Skipping missing resource classpath:/application.xml
